time,bestBidPrice,bestAskPrice,bestBidVolume,bestAskVolume
1194.000000,9.26,9.27,600.000000,162600.000000
1195.000000,9.26,9.27,1400.000000,218000.000000
1196.000000,9.26,9.27,1400.000000,217000.000000
1197.000000,9.26,9.27,1400.000000,217000.000000
1198.000000,9.26,9.27,1400.000000,217900.000000
1199.000000,9.26,9.27,1600.000000,223900.000000
1200.000000,9.26,9.27,900.000000,231860.000000
1201.000000,9.25,9.26,500.000000,500.000000
1202.000000,9.25,9.26,2700.000000,17300.000000
1203.000000,9.25,9.26,1900.000000,17500.000000
1204.000000,9.24,9.26,46800.000000,17500.000000
1205.000000,9.25,9.26,3000.000000,43700.000000
1206.000000,9.25,9.26,3000.000000,62700.000000
1207.000000,9.25,9.26,5000.000000,60300.000000
1208.000000,9.25,9.26,4500.000000,61400.000000
1209.000000,9.25,9.26,4500.000000,61400.000000
1210.000000,9.25,9.26,4500.000000,61400.000000
1211.000000,9.24,9.25,52100.000000,11800.000000
1212.000000,9.24,9.25,52300.000000,8100.000000
1213.000000,9.25,9.26,1800.000000,61400.000000
1214.000000,9.25,9.26,11800.000000,86000.000000
1215.000000,9.25,9.26,12200.000000,85000.000000
1216.000000,9.25,9.26,123400.000000,85000.000000
1217.000000,9.25,9.26,125400.000000,85000.000000
1218.000000,9.25,9.26,134400.000000,84400.000000
1219.000000,9.25,9.26,134400.000000,86000.000000
1220.000000,9.25,9.26,134700.000000,71200.000000
1221.000000,9.25,9.26,138900.000000,69200.000000
1222.000000,9.25,9.26,149900.000000,71200.000000
1223.000000,9.25,9.26,124600.000000,91200.000000
1224.000000,9.25,9.26,124600.000000,99700.000000
1225.000000,9.25,9.26,124600.000000,99100.000000
1226.000000,9.25,9.26,124400.000000,93200.000000
1227.000000,9.25,9.26,125200.000000,87400.000000
1228.000000,9.25,9.26,123600.000000,87300.000000
1229.000000,9.25,9.26,123600.000000,84900.000000
1230.000000,9.25,9.26,119400.000000,84900.000000
1231.000000,9.25,9.26,120300.000000,132900.000000
1232.000000,9.25,9.26,120300.000000,132800.000000
1233.000000,9.25,9.26,115900.000000,132200.000000
1234.000000,9.25,9.26,115900.000000,128700.000000
1235.000000,9.25,9.26,115900.000000,143100.000000
1236.000000,9.25,9.26,103500.000000,143000.000000
1237.000000,9.25,9.26,104100.000000,153600.000000
1238.000000,9.25,9.26,104100.000000,153600.000000
1239.000000,9.25,9.26,104100.000000,151500.000000
1240.000000,9.25,9.26,3200.000000,151500.000000
1241.000000,9.25,9.26,13200.000000,150100.000000
1242.000000,9.25,9.26,13200.000000,130100.000000
1243.000000,9.25,9.26,29200.000000,128900.000000
1244.000000,9.25,9.26,32200.000000,127300.000000
1245.000000,9.25,9.26,33200.000000,162800.000000
1246.000000,9.25,9.26,36200.000000,163000.000000
1247.000000,9.25,9.26,37000.000000,162000.000000
1248.000000,9.25,9.26,36800.000000,151700.000000
1249.000000,9.25,9.26,36900.000000,151400.000000
1250.000000,9.25,9.26,38400.000000,151400.000000
1251.000000,9.25,9.26,41100.000000,151400.000000
1252.000000,9.25,9.26,141100.000000,153700.000000
1253.000000,9.25,9.26,142300.000000,152700.000000
1254.000000,9.25,9.26,141900.000000,154700.000000
1255.000000,9.25,9.26,145100.000000,171300.000000
1256.000000,9.25,9.26,94400.000000,129200.000000
1257.000000,9.25,9.26,102400.000000,129200.000000
1258.000000,9.25,9.26,103900.000000,128100.000000
1259.000000,9.25,9.26,108700.000000,133100.000000
1260.000000,9.25,9.26,112000.000000,133100.000000
1261.000000,9.25,9.26,113100.000000,133100.000000
1262.000000,9.25,9.26,110900.000000,133500.000000
1263.000000,9.25,9.26,119700.000000,133500.000000
1264.000000,9.25,9.26,119500.000000,133700.000000
1265.000000,9.25,9.26,119500.000000,129500.000000
1266.000000,9.25,9.26,121000.000000,128500.000000
1267.000000,9.25,9.26,122200.000000,128500.000000
1268.000000,9.25,9.26,128200.000000,113200.000000
1269.000000,9.25,9.26,93200.000000,112200.000000
1270.000000,9.25,9.26,94200.000000,112200.000000
1271.000000,9.25,9.26,94600.000000,101700.000000
1272.000000,9.25,9.26,94600.000000,51400.000000
1273.000000,9.25,9.26,95600.000000,51400.000000
1274.000000,9.25,9.26,97100.000000,58300.000000
1275.000000,9.25,9.26,118600.000000,57300.000000
1276.000000,9.25,9.26,130000.000000,55100.000000
1277.000000,9.25,9.26,140000.000000,56600.000000
1278.000000,9.25,9.26,140000.000000,52600.000000
1279.000000,9.25,9.26,141000.000000,53700.000000
1280.000000,9.25,9.26,141500.000000,53700.000000
1281.000000,9.25,9.26,139800.000000,46800.000000
1282.000000,9.25,9.27,142000.000000,227360.000000
1283.000000,9.25,9.27,142000.000000,226260.000000
1284.000000,9.25,9.26,139600.000000,52400.000000
1285.000000,9.25,9.26,140500.000000,48000.000000
1286.000000,9.25,9.26,142500.000000,48300.000000
1287.000000,9.25,9.26,142500.000000,50400.000000
1288.000000,9.25,9.26,143000.000000,48900.000000
1289.000000,9.25,9.26,146100.000000,47900.000000
1290.000000,9.25,9.26,146800.000000,47900.000000
1291.000000,9.25,9.26,146800.000000,46900.000000
1292.000000,9.25,9.26,146600.000000,47000.000000
1293.000000,9.25,9.26,147800.000000,46900.000000
1294.000000,9.25,9.26,149800.000000,142400.000000
1295.000000,9.25,9.26,150800.000000,80100.000000
1296.000000,9.25,9.26,150800.000000,79100.000000
1297.000000,9.25,9.26,170800.000000,73900.000000
1298.000000,9.25,9.26,170800.000000,64600.000000
1299.000000,9.25,9.26,170800.000000,63600.000000
1300.000000,9.25,9.26,172600.000000,60800.000000
1301.000000,9.25,9.26,172600.000000,33100.000000
1302.000000,9.25,9.26,172700.000000,34200.000000
1303.000000,9.25,9.26,172700.000000,34400.000000
1304.000000,9.25,9.26,172700.000000,26600.000000
1305.000000,9.25,9.26,182300.000000,21600.000000
1306.000000,9.25,9.26,182300.000000,21600.000000
1307.000000,9.25,9.26,182300.000000,20100.000000
1308.000000,9.25,9.26,182300.000000,18100.000000
1309.000000,9.25,9.26,183300.000000,18100.000000
1310.000000,9.25,9.26,183300.000000,17500.000000
1311.000000,9.25,9.26,183300.000000,14100.000000
1312.000000,9.25,9.26,183600.000000,1800.000000
1313.000000,9.25,9.26,184600.000000,700.000000
1314.000000,9.26,9.27,35100.000000,306760.000000
1315.000000,9.26,9.27,36600.000000,306560.000000
1316.000000,9.26,9.27,5700.000000,302460.000000
1317.000000,9.26,9.27,5100.000000,301460.000000
1318.000000,9.26,9.27,7300.000000,301460.000000
1319.000000,9.26,9.27,34500.000000,285060.000000
1320.000000,9.25,9.26,194000.000000,5400.000000
1321.000000,9.25,9.26,194000.000000,12000.000000
1322.000000,9.25,9.27,191800.000000,305060.000000
1323.000000,9.26,9.27,2200.000000,312360.000000
1324.000000,9.26,9.27,4500.000000,339260.000000
1325.000000,9.26,9.27,4400.000000,347260.000000
1326.000000,9.26,9.27,8400.000000,346260.000000
1327.000000,9.25,9.26,228400.000000,10800.000000
1328.000000,9.25,9.26,232400.000000,12200.000000
